date_found,date_evaluated,company,title,location,canada_viable,source_url,fit_score,recommendation,status,evaluation_file,company_profile_file,notes
2026-04-08,,Wealthsimple,Director of Design Portfolios,Remote — Canada,yes,https://jobs.lever.co/wealthsimple/6e890c37-f540-461b-933b-e8304079c33a,7.8,pursue,evaluated,research/roles/2026-04-06-wealthsimple-director-design-portfolios.md,,Previously evaluated 2026-04-06
2026-04-08,,Clio,Director of Product Design Work & Enterprise,Remote — Canada (ex-QC) and US,yes,https://clio.wd3.myworkdayjobs.com/ClioCareerSite/job/Remote---Canada/Director-of-Product-Design--Work---Enterprise_REQ-4625,8.8,pursue,new,,,Quick score 8.8 — flag for deep dive. $5B valuation $400M ARR Series G legal AI.
2026-04-08,,Shakepay,Head of Design,Remote — Canada (offices in Montreal + Toronto),yes,https://job-boards.greenhouse.io/shakepay/jobs/4604388005,8.4,pursue,new,,,Quick score 8.4 — flag for deep dive. ~$250K CAD signal. Top design role at consumer fintech.
2026-04-08,,Wealthsimple,Director Product Design (Marketing / Growth),Remote — Canada,yes,https://jobs.lever.co/wealthsimple/1e7986ba-c3da-4f19-82e3-3ca755a7a609,7.6,monitor,new,,,Quick score 7.6 — verify freshness (may be mid-2025 posting). Narrower scope than Portfolios role.
2026-04-08,,Elevate Labs,Director of Design,Remote — US & Canada,yes,https://jobs.lever.co/elevatelabs/ccb3d73a-28c2-4d9d-a177-003077bd8578,6.9,monitor,new,,,Quick score 6.9 — brain training app. Reports to CEO. Last funding 2022. Unclear trajectory.
2026-04-08,,Wattpad (WEBTOON Entertainment),Director of Design,Remote — US or Canada (ex-QC),yes,https://jobs.lever.co/wattpad/5e53294c-c7d5-435c-9e64-d4aa056b1f23,6.5,monitor,new,,,Quick score 6.5 — Naver subsidiary. Stable but limited growth signal. Had layoffs 2023.
2026-04-08,,Hipcamp,Director of Design,Remote — US/Canada,yes,https://jobs.lever.co/hipcamp/411bf95f-97d4-415b-ac93-c2b02b4617a7,0,skip,stale,,,Likely filled or removed per search signals. Skip unless reposted.
2026-04-09,,InStride Health,Director of Design,Remote,yes,https://remotive.com/remote/jobs/design/director-of-design-4257845,7.5,pursue,new,,,Series B health tech ($56M funded). Strong mission alignment. Salary $157-175K CAD. Health tech leadership role.
2026-04-09,,PagerDuty,Principal Product Designer,Hybrid — Toronto (2 days/week),yes,https://designproject.io/jobs/jobs/principal-product-designer-toronto-ontario-canada-at-pagerduty-8doart,7.3,monitor,new,,,Principal IC role leading AI/automation design. $159-209K CAD. Public company stability. Hybrid not ideal.
2026-04-09,,Mozilla,Staff Designer,Remote,yes,https://www.remoterocketship.com/company/mozilla/jobs/staff-designer-canada-remote/,7.0,monitor,new,,,Staff-level IC role (not manager). 10+ years. Strong benefits & culture. No salary posted. Established company.
